comparison,dataset,n_claims,original_matched,original_coverage_pct,current_matched,current_coverage_pct,delta_pp,claims_gained,claims_lost,verdict_flips_among_claims_matched_in_both,mcnemar_chi2,mcnemar_p,measurement_type
"ORIGINAL evidence pool (v0, 59 records) vs CURRENT (v0+v1, 136-137 records)","final_gpu_validation, 50 paired natural cases, bare framing both arms (isolates retrieval only)",209,132,63.2,147,70.3,7.18,15,0,0,13.067,0.00030059760744045107,directly measurable (recomputed from raw JSONL)
ORIGINAL evidence pool (v0) vs CURRENT (v0+v1) -- corpus-level,588 claims pooled from every natural-experiment generated text ever produced,588,354,60.2,390,66.3,6.1,36,not recorded in source artifact (see notes),"n/a (retrieval-only corpus scan, no verification run)",not computed (see statistical_tests.csv note),not computed,"directly measurable, but observational (not an independent randomized/paired experiment -- corroborating scale only)"
