metric,baseline,v2,absolute_delta
accuracy,0.5423728813559322,0.4576271186440678,-0.0847457627118644
macro_f1,0.23443223443223446,0.20930232558139536,-0.0251299088508391
weighted_f1,0.7032967032967034,0.6279069767441862,-0.07538972655251719
contradicted_precision,1.0,1.0,0.0
contradicted_recall,0.5423728813559322,0.4576271186440678,-0.0847457627118644
contradicted_f1,0.7032967032967034,0.627906976744186,-0.0753897265525173
entailed_recall,0.0,0.0,0.0
nei_precision,0.0,0.0,0.0
nei_recall,0.0,0.0,0.0
