metric,baseline,v2,absolute_delta
accuracy,0.9714285714285714,0.9380952380952381,-0.033333333333333326
macro_f1,0.9683612674297156,0.9299079919746402,-0.038453275455075375
weighted_f1,0.9712265956463328,0.9371710293858251,-0.034055566260507764
contradicted_precision,0.9649122807017544,0.926605504587156,-0.03830677611459843
contradicted_recall,0.9322033898305084,0.8559322033898306,-0.07627118644067787
contradicted_f1,0.9482758620689654,0.8898678414096917,-0.05840802065927375
entailed_recall,1.0,1.0,0.0
nei_precision,0.9743589743589743,0.923728813559322,-0.050630160799652324
nei_recall,0.9661016949152542,0.923728813559322,-0.0423728813559322
