Metric,Dataset,n,Baseline value,Modified value,Delta,Statistical test,p-value,Metric class,Freshness,Evidence grade,Source artifact
Evidence coverage (209-claim paired natural),209_claim_paired_natural_evaluation,209,0.6316,0.7033,+0.0718,McNemar (continuity-corrected),3.01e-04,"METRIC-ONLY (natural, no correctness label)",FRESH REPRODUCTION (CPU),A,research/prototype/evaluation/actual_outputs/natural_data_runs/209_paired/paired_209_metrics.json
Verifier macro F1 (GOLD-01 controlled benchmark),GOLD-01_controlled_verifier_benchmark,420,0.7487,0.9684,+0.2197,"McNemar (continuity-corrected), paired correct/incorrect per item",4.16e-23,GOLD (labelled ground truth),FRESH (CPU),A,research/prototype/evaluation/actual_outputs/gold_benchmark_runs/gold01_controlled/gold01_metrics.json
Verifier accuracy (GOLD-01 controlled benchmark),GOLD-01_controlled_verifier_benchmark,420,0.7333,0.9714,+0.2381,"McNemar (continuity-corrected), paired correct/incorrect per item",4.16e-23,GOLD (labelled ground truth),FRESH (CPU),A,research/prototype/evaluation/actual_outputs/gold_benchmark_runs/gold01_controlled/gold01_metrics.json
Contradiction recall (GOLD-02 synthetic stress set),GOLD-02_synthetic_stress_set,59,0.3559,0.4576,+0.1017,none performed,not tested,GOLD (contradictory by construction),FRESH (CPU),A,research/prototype/evaluation/actual_outputs/gold_benchmark_runs/gold02_synthetic/gold02_metrics.json
Usable canonical evidence records,research/data/evidence/,n/a,59,136,+77,none,n/a,configuration fact,FRESH (computed live),A,config/prototype.yaml via src/data_loader.py
Unsafe corrections shipped (cumulative),122 correction attempts (56 natural + 66 synthetic),122,0,0,0,none,n/a,observed safety count,HISTORICAL,n/a,research/prototype/outputs/final_metrics.json
Regression suite (authoritative total),research/prototype/tests/,205,205 / 205,205 / 205,0,none,n/a,software behaviour,FRESH (re-run for this package),n/a,evaluation/metrics/COMPONENT_TEST_MATRIX.csv (289 across overlapping component groups)
