bucket_key,bucket_label,count,n_no_evidence_with_citation,n_claims_total,n_matched_total,source_artifact
genuinely_absent_wrong_act_or_edition,"Cited act/edition not in corpus (anaphora, superseded edition)",78,260,797,537,research/prototype/outputs/no_evidence_taxonomy_v3.json
genuinely_absent_no_such_provision_any_act,Provision genuinely absent from the evidence corpus,140,260,797,537,research/prototype/outputs/no_evidence_taxonomy_v3.json
unresolved_act,Act name could not be resolved from the sentence,40,260,797,537,research/prototype/outputs/no_evidence_taxonomy_v3.json
parser_or_matcher_defect_candidate,Parser/matcher defect candidate (both manually confirmed correct),2,260,797,537,research/prototype/outputs/no_evidence_taxonomy_v3.json
