metric,baseline_bare,modified_labeled,delta,n_items,verifier_model,confidence_threshold,device,mcnemar_statistic,mcnemar_p_value,exact_sign_test_p_value,source_artifact
accuracy,0.7333333333333333,0.9714285714285714,0.23809523809523814,420,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,0.7,cpu,98.01,4.1627504389864034e-23,1.5777218104420236e-30,research/prototype/evaluation/actual_outputs/gold_benchmark_runs/gold01_controlled/gold01_metrics.json
macro_f1,0.7486646586649771,0.9683612674297156,0.2196966087647385,420,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,0.7,cpu,98.01,4.1627504389864034e-23,1.5777218104420236e-30,research/prototype/evaluation/actual_outputs/gold_benchmark_runs/gold01_controlled/gold01_metrics.json
