system,system_label,premise_framing,class,precision,recall,f1,support,tp,fp,fn,n_items,source_artifact
baseline,"Baseline: NyayaMind v0 (bare premise · evidence v0, 59 rec)",bare,ENTAILED,0.9787234042553191,0.5,0.6618705035971223,184,92,2,92,420,research/prototype/evaluation/actual_outputs/gold_benchmark_runs/gold01_controlled/gold01_metrics.json
baseline,"Baseline: NyayaMind v0 (bare premise · evidence v0, 59 rec)",bare,CONTRADICTED,0.9537037037037037,0.8728813559322034,0.9115044247787611,118,103,5,15,420,research/prototype/evaluation/actual_outputs/gold_benchmark_runs/gold01_controlled/gold01_metrics.json
baseline,"Baseline: NyayaMind v0 (bare premise · evidence v0, 59 rec)",bare,NOT_ENOUGH_INFORMATION,0.518348623853211,0.9576271186440678,0.6726190476190477,118,113,105,5,420,research/prototype/evaluation/actual_outputs/gold_benchmark_runs/gold01_controlled/gold01_metrics.json
modified,"Modified: NyayaMind production (labeled premise · evidence v0+v1, 136 rec)",labeled,ENTAILED,0.9735449735449735,1.0,0.9865951742627346,184,184,5,0,420,research/prototype/evaluation/actual_outputs/gold_benchmark_runs/gold01_controlled/gold01_metrics.json
modified,"Modified: NyayaMind production (labeled premise · evidence v0+v1, 136 rec)",labeled,CONTRADICTED,0.9649122807017544,0.9322033898305084,0.9482758620689654,118,110,4,8,420,research/prototype/evaluation/actual_outputs/gold_benchmark_runs/gold01_controlled/gold01_metrics.json
modified,"Modified: NyayaMind production (labeled premise · evidence v0+v1, 136 rec)",labeled,NOT_ENOUGH_INFORMATION,0.9743589743589743,0.9661016949152542,0.9702127659574468,118,114,3,4,420,research/prototype/evaluation/actual_outputs/gold_benchmark_runs/gold01_controlled/gold01_metrics.json
